,City ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,5983720,Iqaluit,63.7506,-68.5145,44.33,93,90,2.3,CA,1629050105
74,3883457,Lebu,-37.6167,-73.65,50.23,91,100,23.53,CL,1629050106
75,2171722,Charters Towers,-20.1,146.2667,62.83,80,100,10.27,AU,1629050107
76,2514651,Los Llanos de Aridane,28.6585,-17.9182,74.95,73,0,14.97,ES,1629050107
77,4031574,Provideniya,64.3833,-173.3,48.0,93,100,5.68,RU,1629050108
78,1705645,Looc,12.2605,121.9926,79.88,78,68,4.52,PH,1629050109
79,2276492,Harper,4.375,-7.7169,78.62,65,53,8.14,LR,1629050110
80,4726521,San Patricio,28.017,-97.5169,93.02,43,26,7.67,US,1629050110
81,6089245,Norman Wells,65.282,-126.8329,51.84,93,90,3.44,CA,1629050111
82,2122090,Pevek,69.7008,170.3133,32.79,100,100,5.35,RU,1629050112
83,2155415,New Norfolk,-42.7826,147.0587,40.91,79,85,3.0,AU,1629050113
84,5563839,Fortuna,40.5982,-124.1573,64.65,90,90,6.91,US,1629050114
85,5866583,Saint Paul Harbor,57.79,-152.4072,52.34,67,67,4.29,US,1629050114
86,358619,Port Said,31.2565,32.2841,84.18,74,0,12.66,EG,1629050115
87,1213855,Sibolga,1.7427,98.7792,76.1,89,100,2.93,ID,1629050116
88,3440777,Rocha,-34.4833,-54.3333,61.66,81,91,3.78,UY,1629050117
89,2401578,Bitam,2.076,11.5007,72.39,88,71,3.8,GA,1629050117
90,1235846,Matara,5.9485,80.5353,78.08,86,98,10.38,LK,1629050118
91,3893629,Coquimbo,-29.9533,-71.3436,58.73,67,75,8.05,CL,1629050051
92,3874787,Punta Arenas,-53.15,-70.9167,42.91,93,90,9.22,CL,1629050119
93,1847947,Shingū,33.7333,135.9833,76.91,94,96,4.59,JP,1629050120
94,2126123,Chokurdakh,70.6333,147.9167,39.61,79,100,9.53,RU,1629050121
95,3938819,Huayucachi,-12.1333,-75.2333,63.7,41,80,6.98,PE,1629050122
96,64814,Bandarbeyla,9.4942,50.8122,82.02,62,36,28.5,SO,1629050123
97,3418910,Upernavik,72.7868,-56.1549,42.6,93,100,19.86,GL,1629050123
98,2381334,Atar,20.5169,-13.0499,106.72,12,49,24.7,MR,1629050124
99,986717,Kruisfontein,-34.0033,24.7314,58.89,74,0,5.59,ZA,1629050125
100,2180815,Tuatapere,-46.1333,167.6833,49.82,78,99,7.96,NZ,1629050126
101,1738050,Marabu,4.4148,114.0089,78.94,94,40,5.75,MY,1629050127
102,2109528,Buala,-8.145,159.5921,79.84,83,83,7.34,SB,1629050128
103,1507390,Dikson,73.5069,80.5464,45.59,100,100,14.7,RU,1629050129
104,5554428,Ketchikan,55.3422,-131.6461,57.43,72,46,4.41,US,1629050129
105,3414079,Olafsvik,64.8945,-23.7142,53.94,87,100,11.01,IS,1629050130
106,6111632,Port Alberni,49.2413,-124.8028,77.16,41,17,1.95,CA,1629050050
107,3353540,Rehoboth,-23.3167,17.0833,66.13,20,0,11.25,NA,1629050131
108,110690,Abhā,18.2164,42.5053,71.42,78,40,5.75,SA,1629050132
109,2123814,Leningradskiy,69.3833,178.4167,32.32,95,100,11.81,RU,1629050133
110,1283285,Jumla,29.2747,82.1838,59.41,91,80,1.21,NP,1629050134
111,3366880,Hermanus,-34.4187,19.2345,50.81,78,29,4.59,ZA,1629050135
112,934322,Mahébourg,-20.4081,57.7,66.49,88,40,13.8,MU,1629050135
113,780687,Berlevåg,70.8578,29.0864,46.08,79,99,14.83,NO,1629050136
114,645765,Muhos,64.808,25.9931,60.58,92,77,0.76,FI,1629050137
115,1623197,Tual,-5.6667,132.75,80.01,84,100,18.28,ID,1629049922
116,4467485,Fuquay-Varina,35.5843,-78.8,90.52,77,98,1.99,US,1629050005
117,5131692,Plattsburgh,44.6995,-73.4529,74.5,41,0,1.99,US,1629050002
118,1015776,Bredasdorp,-34.5322,20.0403,54.72,76,6,2.3,ZA,1629050139
119,6050066,La Ronge,55.1001,-105.2842,75.42,33,20,9.22,CA,1629050140
120,2332453,Lagos,6.5833,3.75,82.72,81,51,7.65,NG,1629050141
121,3466704,Castro,-24.7911,-50.0119,72.39,52,45,6.38,BR,1629050141
122,2358382,Léo,11.1,-2.1,78.89,75,89,6.51,BF,1629050142
123,3374083,Bathsheba,13.2167,-59.5167,88.41,70,40,11.5,BB,1629050143
124,6541759,Mazara del Vallo,37.6641,12.588,88.93,61,0,8.88,IT,1629050144
125,2141305,Fayaoué,-20.65,166.5333,71.38,65,99,20.87,NC,1629050145
126,708366,Horodyshche,49.2849,31.4451,70.9,54,3,3.53,UA,1629050145
127,3625929,Tucupita,9.0622,-62.051,76.96,93,100,3.78,VE,1629050146
128,553766,Kamenka,51.3223,42.7678,68.85,79,100,6.15,RU,1629050147
129,1735106,George Town,5.4112,100.3354,79.9,90,20,0.0,MY,1629050148
130,3193044,Podgorica,42.4411,19.2636,91.18,25,0,1.14,ME,1629050057
131,2524371,Locri,38.2414,16.2623,88.38,66,0,4.27,IT,1629050002
132,1895695,Kushima,31.4583,131.2333,77.63,94,100,3.6,JP,1629050149
133,3420846,Qaqortoq,60.7167,-46.0333,52.2,89,94,6.33,GL,1629050150
134,3444201,Puerto Quijarro,-17.7833,-57.7667,98.67,18,0,3.29,BO,1629050151
135,3382160,Cayenne,4.9333,-52.3333,84.24,79,75,1.99,GF,1629050152
136,3381428,Iracoubo,5.4802,-53.2011,75.54,89,100,8.77,GF,1629050153
137,3831208,Qaanaaq,77.484,-69.3632,38.37,99,100,6.82,GL,1629050153
138,3372964,Lagoa,39.05,-27.9833,71.08,77,29,8.32,PT,1629050154
139,2192362,Christchurch,-43.5333,172.6333,47.48,93,4,4.61,NZ,1629050155
140,924572,Nsanje,-16.92,35.262,71.24,64,100,4.74,MW,1629050156
141,2392505,Nikki,9.9401,3.2108,76.1,83,79,4.41,BJ,1629050156
142,1006984,East London,-33.0153,27.9116,61.74,82,0,9.22,ZA,1629050157
143,1814093,Dali,25.7,100.1833,64.42,94,95,1.54,CN,1629050158
144,3408368,Acaraú,-2.8856,-40.12,85.32,60,43,15.52,BR,1629050159
145,2194098,Ahipara,-35.1667,173.1667,47.23,82,17,1.79,NZ,1629050159
